id,y_true,y_pred,absolute_error
1738178386.351613,96.0,85.25929885962952,10.740701140370476
1738178396.429354,59.0,69.47571507374218,10.47571507374218
1738178406.455642,152.0,220.20374610563522,68.20374610563522
1738178416.476352,44.0,126.37027691629643,82.37027691629643
1738178426.499508,143.0,66.57393755401368,76.42606244598632
1738178436.533882,201.0,91.37235292749102,109.62764707250898
1738178446.585585,80.0,79.05271657222744,0.947283427772561
1738178456.607564,185.0,145.428864781649,39.571135218351
1738178466.632818,257.0,226.77710220275642,30.222897797243576
1738178476.656485,88.0,95.06218626579106,7.0621862657910555
1738178486.677619,104.0,38.09508863254197,65.90491136745803
1738178496.700578,230.0,284.13968072574926,54.13968072574926
1738178506.72605,59.0,69.47571507374218,10.47571507374218
1738178516.750999,80.0,79.05271657222744,0.947283427772561
1738178526.78563,96.0,86.33044134124418,9.669558658755818
1738178536.815717,258.0,170.67285698732016,87.32714301267984
